職缺名稱,公司,地點,薪資,來源,發布日期,適合度分數,評分原因,連結,職缺描述,要求條件
[Part Time] 研究助理/資料分析師,美商IQVIA _艾昆緯藥品資訊股份有限公司,台北市松山區,面議,104,20260518,50.3,技能匹配(1): 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市松山區; [技能7+職稱30+關鍵字4+地點10],https://www.104.com.tw/job/7rebn,"主要負責醫院臨床資料庫研究執行並協助相關行政事宜。依照研究文件進行資料分析、結果整理、進度追蹤與報告、數據的彙整及檢誤等。
*依照案件需求外派駐點",
約聘資料分析師(駐點食藥署),關貿網路股份有限公司,台北市南港區,面議,104,20260521,50.3,技能匹配(1): 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市南港區; [技能7+職稱30+關鍵字4+地點10],https://www.104.com.tw/job/76wdy,"1.駐點食藥署負責資料標準化、探勘及分析工作
2.依需求產出資料分析報告
3.其他交辦工作",
商業分析師,拓樸龍科技股份有限公司,台北市信義區,面議,104,20260524,50.3,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市信義區; [技能7+職稱30+關鍵字4+地點10],https://www.104.com.tw/job/8x3gi,"我們正在尋找一位商業分析師 ( Business Analyst），負責協調、釐清及規劃客戶需求，扮演與技術團隊之間的溝通橋樑角色，確保專案需求能被正確理解與有效規劃。


【工作內容】
1. 與客戶進行需求訪談，釐清業務流程與系統需求，並將其轉",
"【InsurTech】 助理商業分析師(BA/SA)｜歡迎資管/風險系應屆, 或具保險經驗1年+",澄楓資訊股份有限公司,台北市大安區,面議,104,20260519,50.3,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市大安區; [技能7+職稱30+關鍵字4+地點10],https://www.104.com.tw/job/91q6h,"悉 MS Office 
    ( Word:測試文件/操作手冊, Excel: 函數和樞紐分析報表, PowerPoint, Visio, Project )
3. 邏輯思考及商業分析技術, 具備 溝通技巧及問題解決能力 

█ 工作內容
━━",
BA商業分析師/系統分析師(總公司),三井住友海上集團_明台產物保險股份有限公司,台北市松山區,面議,104,20260520,50.3,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市松山區; [技能7+職稱30+關鍵字4+地點10],https://www.104.com.tw/job/8z5xt,"BA主要是介於user和IT團隊之間的角色，負責在IT專案中負責發掘、分析、傳達和確認user需求；同時瞭解有關USER業務上的各種問題，搭建USER業務和IT人員之間的溝通橋樑，並推薦問題的解決方案以實現組織的目標，這其中還包括參與系統的設計和測試，以及各種協調工作。

•	與業務單位溝通需求，轉化為清楚可執行的系統規格文件（BRD、FRD、流程圖）。
•	協助專案需求分析、功能設計與系統驗收（...",
【法人金融】法金商業分析師Business Analyst,玉山銀行_玉山商業銀行股份有限公司,台北市松山區,面議,104,20260521,50.3,技能匹配(1): 商業分析; 職稱完全匹配: business analyst; 地點符合: 台北市松山區; [技能7+職稱30+關鍵字4+地點10],https://www.104.com.tw/job/8ri3m,"1.參與法金業務資訊專案，包括但不限於徵授信業務、數位通路發展、企業網路銀行、AI運用等，協助業務發展並提升顧客體驗。
2.熟悉業務並洞察潛在需求，進行使用介面、功能、流程及系統規格設計，並能予以文件化、規格化。
3. 參與相關系統測試、訂定測試計劃及測試案例，確認與驗收系統功能。


104僅供職缺參考，若您對此職缺有興趣，請至本行「玉山菁英甄選網站」投遞履歷，如書審通過，後續將邀請您參加面談。...",
Business Analyst Intern,PT Sayap Mas Utama (WINGS Group),,面議,CakeResume,,50.3,技能匹配(1): google sheets; 職稱完全匹配: business analyst; 地點符合: ; [技能7+職稱30+關鍵字4+地點10],https://www.cake.me/companies/pt-sayap-mas-utama-wings-group/jobs/business-analyst-intern-409,"1. Collect, clean, and analyze data from various sources (e.g., sales, market trends, customer behavior, operations).
2. Summarize findings and present key insights to internal stakeholders.","1. Majoring in Industrial Engineering, Business, Information Systems, or a related field.
2. Strong analytical thinking and data interpretation skills.
3. Proficient in Excel or Google Sheets.
立即應徵
優化..."
新聞部大數據中心數據分析師,中天電視股份有限公司,台北市內湖區,面議,104,20260519,50.0,技能匹配(1): 數據分析; 職稱完全匹配: 數據分析師; 地點符合: 台北市內湖區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/7zdou,"1.蒐集新媒體平台數據
2.製作數據分析報告

",
[台北] ETL/ 資料分析/ 報表開發/ BI工程師,金上晉科技股份有限公司,台北市信義區,面議,104,20260515,50.0,"技能匹配(4): sql, python, etl, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 台北市信義區; [技能27+職稱8+關鍵字5+地點10]",https://www.104.com.tw/job/7gnzs,"1. 報表規劃及設計 (SSRS 3年以上經驗、Power BI)。
2. 跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、T-SQL、Store Procedure、Python)。
3. 資料分析(銷售、MES、財務...等製造業分析)",
資料分析師-情報系統二team【全家便利商店關係企業】,精藤股份有限公司,台北市中山區,面議,104,20260407,50.0,技能匹配(1): 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市中山區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/7f5gu,"護），更有完善的公司治理與開發標準，可做為所有資訊人員執行專案時的後盾。

除此之外，精藤近年來亦不斷追求更多新領域的發展，例如：雲端科技應用、大數據資料分析以及行動裝置管理技術等等，誠摯的歡迎所有對於零售流通有興趣的伙伴一同加入精藤的大家庭。",
接案-資料分析師,真程旅行社有限公司,台北市中正區,面議,104,20260521,50.0,技能匹配(1): 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市中正區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8bno4,"公司有大量與客人來回的之Email，希望藉由清理資料，來推斷現在客人寄信時預期階段，目的是掌握每位客人距離成交的階段，最後能拉高成交機率。

這案件並非單純的網站數據分析，希望專家有心理準備要自行清理資料。",
核心_商業分析師 BA,遠雄人壽保險事業股份有限公司(總公司),台北市信義區,面議,104,20260522,50.0,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市信義區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/86ron,"1.執行壽險核心系統轉型專案，擔任BA負責流程規劃與設計
2.進行業務流程分析，發現痛點並規劃to-be流程及解決方案
3.與專案管理人員協同規劃專案，提出流程優化具體解決方案和計畫
4.與系統架構人員協同進行系統架構及模組分析、溝通、討論、設計
5.依專案任務與各使用者單位進行需求分析、溝通、釐清，並產出需求文件
6.與系統分析人員協同進行系統流程規劃、分析與測試驗證，產出系統功能規格文件",
商業分析師(壽險),新加坡商易呈有限公司臺灣分公司,台北市松山區,面議,104,20260520,50.0,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市松山區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8xx4z,"1.執行壽險核心系統轉型專案，擔任BA負責流程規劃與設計
2.進行業務流程分析，發現痛點並規劃to-be流程及解決方案
3.與專案管理人員協同規劃專案，提出流程優化具體解決方案和計畫
4.與系統架構人員協同進行系統架構及模組分析、溝通、討論、設計
5.依專案任務與各使用者單位進行需求分析、溝通、釐清，並產出需求文件
6.與系統分析人員協同進行系統流程規劃、分析與測試驗證，產出系統功能規格文件",
【總行單位】商業分析師Business Analyst(經驗行員),玉山銀行_玉山商業銀行股份有限公司,台北市松山區,面議,104,20260521,50.0,技能匹配(1): 商業分析; 職稱完全匹配: business analyst; 地點符合: 台北市松山區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/880iq,"邀請您加入玉山商業分析師(BA)團隊，推動玉山業務發展，一同打造亞洲最具特色的標竿銀行。
商業分析師(BA)是資訊企劃專業人員，藉由評估資訊資源使用必要與合理性，規劃系統長期發展方向，為推動玉山業務轉型關鍵角色之一

加入玉山商業分析師，您將獲得",
總部功能-FIN經管-Business Analyst經營分析(內湖),光寶科技股份有限公司,台北市內湖區,面議,104,20260521,50.0,技能匹配(1): 跨部門溝通; 職稱完全匹配: business analyst; 地點符合: 台北市內湖區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8g2wf,"1. 制定每月事業單位預算管理報表及其審核與分析。
2. 協助事業部流程改善降低營運風險，並檢核實際執行狀況。
3. 跨部門溝通協調協助並參與各事業單位專案。
4. 管理標準成本制定及差異分析。
5. 協助公司政策執行。",
(資深)經營分析師 (Sr.)Business Analyst,華電聯網股份有限公司,新北市汐止區,面議,104,20260520,50.0,技能匹配(1): forecasting; 職稱完全匹配: business analyst; 地點符合: 新北市汐止區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8yn25,"1. Be the key member of the business target and budget planning, forecasting, result analysis. 

2. Familiar with IFRS15 or",
數據分析,不晚科技有限公司,台北市內湖區,面議,104,20260518,49.7,技能匹配(1): 數據分析; 職稱完全匹配: 資深數據分析師; 地點符合: 台北市內湖區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8j1zb,"1.熟練數據分析工具，能進行數據清理、分析和建模，分析市場營銷活動的效果，提供報告和改進建議。
2.從多個渠道收集客戶數據，確保數據品質，製作可視化報表，清晰呈現數據洞察。
3.定期分析遊戲或平台的關鍵績效指標，並找出影響營收的主要因素
4.利用",
Engineering Coordinator 資料分析 (工作地點:信義)，保障年薪14個月),Molex Taiwan Ltd._台灣莫仕股份有限公司,台北市信義區,面議,104,20260518,49.7,"技能匹配(3): dashboard, 數據分析, data analytics; 職稱部分匹配: 數據科學家; 地點符合: 台北市信義區; [技能20+職稱8+關鍵字11+地點10]",https://www.104.com.tw/job/8zoe4,"PRIMARY PURPOSE:


The Engineering Coordinator acts as the central hub of our engineering team, bridging the gap between technical execution and executive reporting. This role ensures the seamless flo...",
【業務中台】商業分析師 Business Analyst_I00019710,國泰世紀產物保險股份有限公司,台北市內湖區,面議,104,20260518,49.7,技能匹配(1): 商業分析; 職稱完全匹配: business analyst; 地點符合: 台北市內湖區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8l1c5,作為商業分析師（BA），你是否好奇產物保險這個商業領域隱藏著哪些機遇？讓我們一起探索這片充滿數位創新與商業洞察的版圖，我們正面臨著傳統模式的局限、不斷變化的需求與未被挖掘的機會。你是否準備好迎接這些挑戰，透過分析與洞察找出突破口，為保險業帶來改變,
"商業分析師｜集團徵才-數位行銷(數數發中心,DDT)",國泰金控_國泰金融控股股份有限公司,台北市大安區,面議,104,20260519,49.7,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市大安區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8kivg,"1. 分析客戶行為樣貌與通路偏好，掌握潛在客群經營，提出策略建議。
2. 追蹤與分析各產品行銷活動之結果，以數據洞察輔助行銷決策。
3 .整合線上及線下通路，規劃應用場景並提供行銷策略建議。
4. 透過數據驅動建立重點業務指標，運用工具視覺化動態呈現觀測指標，供團隊靈活運用。


*本職務為國泰產險數位團隊職缺",
(HQ) Business Analyst,Morrison Express,台北,面議,LinkedIn,2026-05-14,49.7,職稱完全匹配: business analyst; 地點符合: 台北; [技能0+職稱30+關鍵字10+地點10],https://tw.linkedin.com/jobs/view/hq-business-analyst-at-morrison-express-4414448507,"This position, based at the Global Headquarters, is responsible for designing, optimizing, and implementing the company’s system-based operational processes. The role ensures that all processes are st...",
(Taipei) SAP HCM / SuccessFactors Lead Engineer,國巨股份有限公司,新北市新店區,面議,104,20260518,49.5,"技能匹配(3): 數據分析, 跨部門溝通, stakeholder management; 職稱部分匹配: analytics engineer; 地點符合: 新北市新店區; [技能20+職稱12+關鍵字7+地點10]",https://www.104.com.tw/job/8r38z,"工作內容（Responsibilities）
•主導 SAP SuccessFactors 與 SAP HCM 系統之設計、優化與技術發展 
•規劃並實作 SAP BTP（CPI）整合架構，串接內外部 HR 與企業系統 
•負責 SuccessFactors 模組（如 Employee Central、Payroll, Time）之功能優化 
•開發與提升 HR 數據分析與報表能力 
•與 HR、...",
商業分析師 (BA),雙子數位科技有限公司,台北市信義區,面議,104,20260521,49.3,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市信義區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/8kqr1," 熟悉 MS Office (Word, Excel, Power Point, Visio, Project ) 及 UML (Use Case)
➢ 具邏輯思考及商業分析技術,具備溝通技巧及問題解決能力且可獨立作業

✻BA (Level 2)",
【金融業】BA 商業分析師,華威數位財金科技股份有限公司,台北市信義區,面議,104,20260520,49.3,技能匹配(1): 商業分析; 職稱完全匹配: 商業分析師; 地點符合: 台北市信義區; [技能7+職稱30+關鍵字3+地點10],https://www.104.com.tw/job/81ajy,"- BA 商業分析師 (駐點人壽)
- 工作地點  : 台北市  
.........................................................................................",
Business Analyst,PT Difini Teknologi,,面議,CakeResume,,49.3,技能匹配(1): sql; 職稱完全匹配: business analyst; 地點符合: ; [技能7+職稱30+關鍵字3+地點10],https://www.cake.me/companies/pt-difini-teknologi/jobs/business-analyst-a5d,"Mampu membuat Requirement Gathering (BRD, FRD, User Story).
Mampu melakukan Analisis GAP & impact analysis
Mampu membuat flow diagram (BPMN), UML, Use Case Diagram
Memahami konsep System Development L...","Pendidikan: Sarjana (S1) Teknik Informatika, Ilmu Komputer, atau bidang terkait.
IPK Minimal: 3.00
Dapat berkomunikasi dengan baik, dan lancar.
Memiliki logika dan penalaran yang baik.
Dapat Bekerja d..."
TP- Financial Analyst / Business Analyst,金盛世紙業有限公司,台北市大安區,面議,104,20260519,49.0,技能匹配(1): dashboard; 職稱完全匹配: business analyst; 地點符合: 台北市大安區; [技能7+職稱30+關鍵字2+地點10],https://www.104.com.tw/job/8t930,"1. Prepare regular financial dashboards and management reports, providing commentary based on business and data analysis",
Junior Business Analyst,印孚瑟斯,台北,面議,LinkedIn,2026-05-15,49.0,職稱完全匹配: business analyst; 地點符合: 台北; [技能0+職稱30+關鍵字9+地點10],https://tw.linkedin.com/jobs/view/junior-business-analyst-at-infosys-4411580225,About Infosys: Infosys is a global leader in next-generation digital services and consulting. We enable clients in 56+ countries to navigate their digital transformation. With over three decades of ex...,
Business Analyst,印孚瑟斯,台北,面議,LinkedIn,2026-05-04,49.0,職稱完全匹配: business analyst; 地點符合: 台北; [技能0+職稱30+關鍵字9+地點10],https://tw.linkedin.com/jobs/view/business-analyst-at-infosys-4399522626,About Infosys Infosys is a global leader in next-generation digital services and consulting. We enable clients in 56+ countries to navigate their digital transformation. With over three decades of exp...,
Business Analyst,財團法人綠色和平基金會,台北市松山區,面議,104,20260518,48.0,技能匹配(1): business analytics; 職稱完全匹配: business analyst; 地點符合: 台北市松山區; [技能7+職稱30+關鍵字1+地點10],https://www.104.com.tw/job/8zrsv," & Business Analytics capability to help us make smarter, faster decisions. As our Business Analyst, you aren't just managing",
【集團】財務規劃與分析副理  FP&A,科林儀器股份有限公司,新北市中和區,面議,104,20260518,47.7,"技能匹配(3): forecasting, business analysis, 跨部門溝通; 地點符合: 新北市中和區; [技能20+職稱0+關鍵字18+地點10]",https://www.104.com.tw/job/8zpvo,"一、關於這個職位
此職位為核心財務策略夥伴，負責主導財務規劃與分析（FP&A），結合數據工具（如 Power BI）與 AI 應用，在IPO階段協助管理團隊掌握營運績效並支持關鍵決策。您將不僅提供分析報表，更需主動參與業務策略討論，透過數據洞察與財務觀點，推動營運效率與成長。

二、為什麼設立這個職位
隨著業務持續擴展與營運複雜度提升，我們需要一位能夠整合「財務、營運與策略」的關鍵角色，強化預算規...",
Data Analysis Services  (地點：板橋/新店),印度商威普羅股份有限公司台灣分公司,新北市新店區,面議,104,20260519,47.5,"技能匹配(3): sql, 數據分析, data analytics; 職稱部分匹配: data scientist; 地點符合: 新北市新店區; [技能20+職稱12+關鍵字5+地點10]",https://www.104.com.tw/job/8zepo," large-scale data analytics pipelines
● 豐富的 SQL 經驗和大規模資料分析管道經驗
● Strong communication and collaboration; requires work with",
數據分析或工業物聯網應用工程師,睿志科技股份有限公司,新北市新莊區,面議,104,20260520,46.7,"技能匹配(2): 自動化, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 新北市新莊區; [技能13+職稱17+關鍵字7+地點10]",https://www.104.com.tw/job/8zxg9,"1.觀測及分析數據，執行數據分析、行銷效益分析、產生具備商業價值的數據洞察。
2.與業務部門合作，協助執行業務分析、產出行銷名單，或開發數據儀錶板以供實時檢視商業指標。
3.經營數據中臺，發想及規劃數據應用，執行商品推薦、行銷自動化的導入或實作。
4.把關資料來源品質，確保資料的正確性、可用性，及確保能夠滿足分析需求。
5.其他主管交辦任務。

數據分析師是當前最熱門、最具發展前景的職業之一，因為...",
AI 資料科學家_課級（內湖） - TWII01291,仁寶,台北,面議,LinkedIn,2026-05-22,46.7,"技能匹配(3): machine learning, 機器學習, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 台北; [技能20+職稱8+關鍵字8+地點10]",https://tw.linkedin.com/jobs/view/ai-%E8%B3%87%E6%96%99%E7%A7%91%E5%AD%B8%E5%AE%B6-%E8%AA%B2%E7%B4%9A%EF%BC%88%E5%85%A7%E6%B9%96%EF%BC%89-twii01291-at-compal-4407615553,AI 模型應用、訓練與微調，熟悉雲端/地端與LLM 操作及應用。 了解使用大型語言模型進行訓練和微調。包括選擇合適的數據集、設計訓練流程，以及調整模型參數以達到最佳性能。資料科學家需具備使用框架如TensorFlow來實現這些過程的能力，並能夠針對特定任務優化LLM。 資料建模與分析，建立和訓練機器學習模型，選擇適當的算法進行數據分析，並從中提取有價值的見解。 持續監控與優化，監控模型性能，根據新...,
數據智能與 AI 發展經/副理_汐止,緯謙科技股份有限公司,新北市汐止區,面議,104,20260515,46.0,"技能匹配(2): 數據分析, 跨部門溝通; 職稱部分匹配: 數據科學家; 地點符合: 新北市汐止區; [技能13+職稱17+關鍵字6+地點10]",https://www.104.com.tw/job/90iqf,"負責公司數據、AI 與生成式 AI 應用策略與落地，帶領數據與 AI 團隊，將資料治理、數據分析與 AI 技術轉化為可實際導入企業流程或客戶場域的解決方案，並確保資料安全與法規遵循。

【工作內容】
1. AI 與數據應用推動
•	督導 AI、數據分析與資料服務團隊，推動 生成式 AI、AI Agent、企業知識管理、數據分析與智慧應用專案。
•	協助將 AI 技術（如語意搜尋、文件摘要、聊天機器...",
資料科學家(需大直駐點),越世實業股份有限公司,新北市三重區,面議,104,20260512,46.0,"技能匹配(3): machine learning, 機器學習, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 新北市三重區; [技能20+職稱8+關鍵字8+地點10]",https://www.104.com.tw/job/907kf,"1. 數據分析:  進行銷售和會員行為等分析，發現機會和問題，提出活動結果與建議。
2. 會員標籤、會員分群與數據模型開發: 獨立完成機器學習模型(（回歸、分類、聚類等）的設計、訓練與開發任務，用於業務、行銷、商品等部門利用數據，提升業務策略與成",
資料分析工程師,億力資訊股份有限公司,台北市中山區,面議,104,20260518,45.3,"技能匹配(3): machine learning, 機器學習, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 台北市中山區; [技能20+職稱8+關鍵字7+地點10]",https://www.104.com.tw/job/90e1j,"1. 數據分析:  進行銷售和會員行為等分析，發現機會和問題，提出活動結果與建議。
2. 會員標籤、會員分群與數據模型開發: 獨立完成機器學習模型(（回歸、分類、聚類等）的設計、訓練與開發任務，用於業務、行銷、商品等部門利用數據，提升業務策略與成效
3. 跨部門協作: 訪談需求單位，配合業務目標，應用AI智能模型與數據技術規劃落地於業務場景之方案。
4. 數據處理與特徵工程: 從零開始進行數據清洗...",
資料分析助理,銀穗國際企業股份有限公司,台北市中山區,面議,104,20260518,45.3,"技能匹配(3): sql, 數據分析, 跨部門溝通; 職稱部分匹配: 數據科學家; 地點符合: 台北市中山區; [技能20+職稱8+關鍵字7+地點10]",https://www.104.com.tw/job/8uk9v,"【職務說明】
1. 根據各部門需求製作日／週／月報表，包含營運、銷售、庫存、行銷成效等。
2. 依據資料檢查數字合理性，能主動發現異常並回報。
3. 接收各部門報表需求，協助設計報表架構、欄位及計算邏輯。
4. 使用 Excel、或 SQL 等工具進行資料整合與可視化。
5. 與資料工程團隊協作，確保資料來源正確性與更新週期穩定。

【任職條件】
1. 具報表製作或資料處理經驗佳。
2. 熟悉 E...",
【數金】業務分析師 Business Analyst,中租控股_中租迪和股份有限公司,台北市內湖區,面議,104,20260518,45.3,職稱完全匹配: business analyst; 地點符合: 台北市內湖區; [技能0+職稱30+關鍵字5+地點10],https://www.104.com.tw/job/6pr7e,"中租控股誠徵對於梳理金融產業商業邏輯，打造跨國企業等級資訊系統有熱誠的夥伴加入。
***
【工作內容】
1.參與海內外消費金融系統開發專案，進行商業邏輯之業務需求訪談、分析，並設計流程、功能及撰寫業務規格書。
2.成為業管單位關鍵溝通橋梁，與資訊同仁共同商議並提出資訊解決方案。
3.進行使用者測試(UAT)，含測試案例設計、測試時程安排、測試進度追蹤。
4.系統操作教育訓練及教育手冊編訂。
5.負...",
Factory Finance Analyst,台灣瑪氏股份有限公司,新北市淡水區,面議,104,20260520,45.2,"技能匹配(2): forecasting, profitability analysis; 職稱部分匹配: business analyst; 地點符合: 新北市淡水區; [技能13+職稱12+關鍵字9+地點10]",https://www.104.com.tw/job/8vmnj,"｜Job Purpose/Overview｜
•	Responsible for planning, directing and monitoring the activities related to the factory's costs systems and analysis of product costs and contribution margins - including det...",
(Consulting) Business Consultant - Insurance Domain,IBM_台灣國際商業機器股份有限公司,台北市信義區,面議,104,20260409,45.2,"技能匹配(2): etl, stakeholder management; 職稱部分匹配: business analyst; 地點符合: 台北市信義區; [技能13+職稱12+關鍵字9+地點10]",https://www.104.com.tw/job/8yq3x,"Core Systems & Digital Transformation

 * Lead end-to-end core system modernization programs, including legacy decoupling, middleware implementation (ESB/ETL), and integration with digital channels.
 ...",
數據分析專員,台灣優勢客服科技股份有限公司,新北市三重區,面議,104,20260521,45.0,"技能匹配(2): 數據分析, 商業分析; 職稱部分匹配: 數據科學家; 地點符合: 新北市三重區; [技能13+職稱17+關鍵字5+地點10]",https://www.104.com.tw/job/82a80,"一、職務內容：
1. 商業數據整理與資料標註
2. 商業分析報告製作
3.客服數據分析
4.智能化流程與AI應用規劃
5.商業提案與策略規劃
6. 其他主管交辦事項


二、職務條件：
1. 碩士畢業佳（歡迎應屆畢業生）
2. 對數據敏感，邏輯性強
3. 自主學習力強，對數據分析有熱情
4. 擅用數據分析工具
5. 能將數據分析結果轉化為趨勢預測、商業決策等洞察價值
6. 能指引、協同及支援專案和...",
數據分析主管,LRS_英屬維京群島商杰恒國際有限公司台灣分公司,台北市松山區,面議,104,20260514,44.7,"技能匹配(2): a/b 測試, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 台北市松山區; [技能13+職稱17+關鍵字5+地點10]",https://www.104.com.tw/job/91kkz,"• 領導並指導資料分析團隊，提供方法論、工具

• 制定與業務和產品目標相符的資料策略和分析路線圖。

• 監督跨多個資料來源的資料收集、整合和治理，確保資料的準確性、一致性和安全性。

• 推動高階分析項目，包括統計建模、預測和實驗（例如 A/B 測試）。

• 與產品、工程和業務團隊合作，定義關鍵績效指標 (KPI) 並建立可擴展的框架。

• 提供策略洞察和高階主管級報告，以支援決策和業務增...",
數據分析與工具發展專員,里仁事業股份有限公司,新北市汐止區,面議,104,20260519,44.7,"技能匹配(2): 數據分析, 跨部門溝通; 職稱部分匹配: 數據科學家; 地點符合: 新北市汐止區; [技能13+職稱17+關鍵字5+地點10]",https://www.104.com.tw/job/8vhym,"1.進行會員數據、市場分析，提出會員溝通與經營企劃，強化會員忠誠。
2.結合數位工具行為數據，規劃並執行改善方案。
3.與設計及技術團隊進行跨部門溝通及專案進度管理，進行數位工具建置。",
Senior Business Analyst,中磊電子,"臺北市, 台灣",面議,LinkedIn,2026-05-16,44.7,技能匹配(1): tableau; 職稱完全匹配: business analyst; [技能7+職稱30+關鍵字8+地點0],https://tw.linkedin.com/jobs/view/senior-business-analyst-at-sercomm-4415181760,"Responsibility： Analyze financial reports for management, highlighting key performance indicators and areas for improvement. Generate financial reports for management and ensure accuracy and completen...",
Data Insights Analyst,Greenpeace East Asia,台北,面議,LinkedIn,2026-05-08,44.5,"技能匹配(2): forecasting, segmentation; 職稱部分匹配: data analyst; 地點符合: 台北; [技能13+職稱12+關鍵字9+地點10]",https://tw.linkedin.com/jobs/view/data-insights-analyst-at-greenpeace-east-asia-4407593876,"Purpose and Scope of the Job Purpose Greenpeace East Asia (GPEA) is a leading environmental campaigning organization, working with supporters in East Asia and globally to tackle the most crucial envir...",
業務 數據分析 人員,南山人壽保險股份有限公司,"台北市, 台灣",50萬 ~ 70萬 TWD / 年,CakeResume,,44.3,"技能匹配(2): 數據分析, 跨部門溝通; 職稱部分匹配: 數據科學家; 地點符合: 台北市, 台灣; [技能13+職稱17+關鍵字4+地點10]",https://www.cake.me/companies/nshr-nanshanlife/jobs/business-data-analyst-24c41b,"●建立推廣分析架構並提出建議，以透過數據分析提升對客戶之洞察並制定後續推動行動方案
●檢視並分析各項商品動態，以建立推動策略及SOP，以達業績目標
●跨部門溝通及整合各項商品資源
立即應徵
優化履歷
查看所有職缺
立即應徵
優化履歷
查看所有職缺",
Audi Business Management & Analytics,Volkswagen Group Taiwan Co. Ltd.,台北,面議,LinkedIn,2026-05-12,44.2,"技能匹配(2): data analytics, business analysis; 職稱部分匹配: business analyst; 地點符合: 台北; [技能13+職稱12+關鍵字8+地點10]",https://tw.linkedin.com/jobs/view/audi-business-management-analytics-at-volkswagen-group-taiwan-co-ltd-4401585344,"We welcome talents of all races, ethnicities, ages, abilities, religions, sexual orientations, and gender identities. Diversity is at the heart of who we are, and we believe that unique perspectives d...",
數據工程師｜AI產業｜新創｜Python｜歡迎新鮮人與資深開發者,睿思智慧股份有限公司,新北市板橋區,面議,104,20260409,44.0,"技能匹配(2): python, data pipeline; 職稱部分匹配: 數據科學家; 地點符合: 新北市板橋區; [技能13+職稱17+關鍵字4+地點10]",https://www.104.com.tw/job/8xq4h,"客戶。
2. 協助客戶整合、設計及部署大數據處理流程與平台，規劃完整數據流程 (Data Pipeline)，從資料庫、API 等來源取得並彙整資料。
3. 依據業務需求支援各類型資料來源串接與資料處理，完善資料倉儲架構。
4. 規劃、設計、開發及",
數據分析研究員,方圓細胞生醫股份有限公司,新北市汐止區,面議,104,20260519,44.0,"技能匹配(2): 自動化, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 新北市汐止區; [技能13+職稱17+關鍵字4+地點10]",https://www.104.com.tw/job/8hzpd,"1. 細胞影像分析 或 NGS次世代定序，將生物數據轉化為臨床診斷價值。
2. AI 模型建構： 負責細胞影像處理與辨識模型的開發與優化（包含分割、分類及特徵提取）。
3. 數據架構優化： 進行大規模生醫資料清理、標記與結構化，確保 AI 模型訓練的高品質數據流。
4. 系統自動化： 設計並建置自動化分析流程，極大化臨床實驗室的產出效率。
",
Business Analyst - Platform Soutions,WorldQuant,"Mumbai District, Maharashtra, India",面議,CakeResume,,44.0,技能匹配(1): business analysis; 職稱完全匹配: business analyst; [技能7+職稱30+關鍵字7+地點0],https://www.cake.me/companies/WorldQuant/jobs/4676737006-business-analyst-platform-soutions-601aeac12af9f09f7115bbfac6b500,WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our propri...,
